id	stage	section	subsection	caption	timing	who	illo	mood	bg	template	pack	file
LC-130	Baby	Firsts	Developmental Firsts	I pulled myself up	7-11 months	Baby cub	baby cub holding onto soft crib rail shape	determined	muted cream	T10 Firsts	Core	130_baby_i_pulled_myself_up.png
LC-131	Baby	Firsts	Developmental Firsts	I stood up	8-12 months	Baby cub	baby cub standing with support from a eucalyptus branch	proud	muted cream	T10 Firsts	Core	131_baby_i_stood_up.png
LC-132	Baby	Firsts	Developmental Firsts	First steps	9-15 months	Baby cub	baby cub taking tiny steps forward	brave	muted cream	T10 Firsts	Core	132_baby_first_steps.png
LC-133	Baby	Firsts	Developmental Firsts	I walked today	10-18 months	Baby cub	baby cub walking with tiny arms open	happy	muted cream	T10 Firsts	Core	133_baby_i_walked_today.png
LC-134	Baby	Firsts	Developmental Firsts	I ran today	14-24 months	Baby cub	toddler cub doing tiny running steps	excited	muted cream	T10 Firsts	Core	134_baby_i_ran_today.png
LC-135	Baby	Firsts	Developmental Firsts	I climbed today	12-24 months	Baby cub	toddler cub climbing a soft cushion shape	mischievous	muted cream	T10 Firsts	Core	135_baby_i_climbed_today.png
LC-136	Baby	Firsts	Developmental Firsts	I waved hello	5-10 months	Baby cub	baby cub waving one tiny paw	friendly	muted cream	T10 Firsts	Core	136_baby_i_waved_hello.png
LC-137	Baby	Firsts	Developmental Firsts	I clapped today	6-12 months	Baby cub	baby cub clapping paws	happy	muted cream	T10 Firsts	Core	137_baby_i_clapped_today.png
LC-138	Baby	Firsts	Developmental Firsts	I pointed today	8-14 months	Baby cub	baby cub pointing at a small leaf	curious	muted cream	T10 Firsts	Core	138_baby_i_pointed_today.png
LC-139	Baby	Firsts	Developmental Firsts	My first word	8-18 months	Baby cub	baby cub with blank speech bubble shape, no text	surprised	muted cream	T10 Firsts	Core	139_baby_my_first_word.png
LC-140	Baby	Firsts	Developmental Firsts	I said Mama	8-18 months	Baby cub	baby cub leaning toward mama bear, blank speech bubble no text	loving	muted cream	T10 Firsts	Core	140_baby_i_said_mama.png
LC-141	Baby	Firsts	Developmental Firsts	I said Papa	8-18 months	Baby cub	baby cub leaning toward papa bear, blank speech bubble no text	loving	muted cream	T10 Firsts	Core	141_baby_i_said_papa.png
LC-142	Baby	Firsts	Developmental Firsts	First tooth	4-12 months	Baby cub	baby cub with tiny tooth icon beside cheek, no text	sweet	muted cream	T10 Firsts	Core	142_baby_first_tooth.png
LC-143	Baby	Firsts	Developmental Firsts	First haircut	6-24 months	Baby cub	baby cub with tiny comb and soft hair tuft	curious	muted cream	T10 Firsts	Core	143_baby_first_haircut.png
LC-144	Baby	Firsts	Developmental Firsts	Slept through the night	0-12 months	Baby cub	baby cub sleeping on crescent moon	peaceful	muted cream	T10 Firsts	Core	144_baby_slept_through_the_night.png
LC-145	Baby	Firsts	Developmental Firsts	First foods	4-8 months	Baby cub	baby cub with tiny bowl and spoon	curious	muted cream	T10 Firsts	Core	145_baby_first_foods.png
LC-146	Baby	Firsts	Developmental Firsts	Tried a new food	6-24 months	Baby cub	baby cub tasting from tiny bowl with surprised expression	surprised	muted cream	T10 Firsts	Core	146_baby_tried_a_new_food.png
LC-147	Baby	Firsts	Developmental Firsts	Drank from a cup	6-18 months	Baby cub	baby cub holding tiny cup	proud	muted cream	T10 Firsts	Core	147_baby_drank_from_a_cup.png
LC-148	Baby	Firsts	Developmental Firsts	Used a spoon	9-24 months	Baby cub	baby cub holding tiny spoon with messy cheeks	playful	muted cream	T10 Firsts	Core	148_baby_used_a_spoon.png
LC-149	Baby	Firsts	Developmental Firsts	Made a mess today	6-24 months	Baby cub	baby cub with tiny food smudges and bowl	cheeky	muted cream	T10 Firsts	Core	149_baby_made_a_mess_today.png
LC-150	Baby	Firsts	Developmental Firsts	I danced today	9-24 months	Baby cub	baby cub dancing with tiny music-note-like shapes, no letters	happy	muted cream	T10 Firsts	Core	150_baby_i_danced_today.png
LC-151	Baby	Firsts	Developmental Firsts	I sang today	10-24 months	Baby cub	baby cub with open mouth and soft sound-wave shapes, no letters	joyful	muted cream	T10 Firsts	Core	151_baby_i_sang_today.png
LC-152	Baby	Firsts	Developmental Firsts	Played peekaboo	4-12 months	Baby cub	baby cub peeking from behind blanket	playful	muted cream	T10 Firsts	Core	152_baby_played_peekaboo.png
LC-153	Baby	Firsts	Developmental Firsts	First kiss	6-18 months	Baby cub	baby cub giving tiny heart-shaped kiss gesture	loving	muted cream	T10 Firsts	Core	153_baby_first_kiss.png
LC-154	Baby	Firsts	Developmental Firsts	First hug	6-18 months	Baby cub	baby cub hugging teddy	loving	muted cream	T10 Firsts	Core	154_baby_first_hug.png
LC-155	Baby	Firsts	Developmental Firsts	Made a new friend	6-24 months	Baby cub	two baby cubs sitting together	friendly	muted cream	T10 Firsts	Core	155_baby_made_a_new_friend.png
LC-156	Baby	Firsts	Developmental Firsts	First playdate	6-24 months	Baby cub	two baby cubs sharing soft blocks	happy	muted cream	T10 Firsts	Core	156_baby_first_playdate.png
LC-157	Baby	Firsts	Developmental Firsts	First park day	0-24 months	Baby cub	baby cub sitting near tiny leaf and outdoor blanket	curious	muted cream	T10 Firsts	Core	157_baby_first_park_day.png
LC-158	Baby	Firsts	Developmental Firsts	First swim	6-24 months	Baby cub	baby cub with towel and soft water ripples	brave	muted cream	T10 Firsts	Core	158_baby_first_swim.png
LC-159	Baby	Firsts	Developmental Firsts	First beach day	0-24 months	Baby cub	baby cub beside tiny sand bucket and shell shapes	sunny	muted cream	T10 Firsts	Core	159_baby_first_beach_day.png
LC-160	Baby	Firsts	Developmental Firsts	First road trip	0-24 months	Baby cub	baby cub with tiny suitcase and road curve shape	excited	muted cream	T10 Firsts	Core	160_baby_first_road_trip.png
LC-161	Baby	Firsts	Developmental Firsts	First flight	0-24 months	Baby cub	baby cub with small cloud and airplane-like paper shape, no logos	curious	muted cream	T10 Firsts	Core	161_baby_first_flight.png
LC-162	Baby	Firsts	Developmental Firsts	First holiday	0-24 months	Baby cub	baby cub with suitcase and moon/stars	happy	muted cream	T10 Firsts	Core	162_baby_first_holiday.png
LC-163	Baby	Firsts	Developmental Firsts	First festival	0-24 months	Baby cub	baby cub surrounded by soft celebratory sparkles	amazed	muted cream	T10 Firsts	Core	163_baby_first_festival.png
LC-164	Baby	Firsts	Developmental Firsts	First birthday party	12-24 months	Baby cub	baby cub with soft party hat and balloons	joyful	muted cream	T10 Firsts	Core	164_baby_first_birthday_party.png
LC-165	Baby	Firsts	Developmental Firsts	First daycare day	12-24 months	Baby cub	baby cub holding tiny backpack	brave	muted cream	T10 Firsts	Core	165_baby_first_daycare_day.png
LC-166	Baby	Firsts	Developmental Firsts	First school day	18-36 months	Baby cub	toddler cub with tiny backpack and book	proud	muted cream	T10 Firsts	Core	166_baby_first_school_day.png
LC-167	Baby	Firsts	Developmental Firsts	First artwork	10-24 months	Baby cub	baby cub holding crayon beside blank paper	creative	muted cream	T10 Firsts	Core	167_baby_first_artwork.png
LC-168	Baby	Firsts	Developmental Firsts	First book	0-24 months	Baby cub	baby cub looking at open blank picture book	curious	muted cream	T10 Firsts	Core	168_baby_first_book.png
LC-169	Baby	Firsts	Developmental Firsts	First shoes	8-18 months	Baby cub	baby cub beside tiny booties	proud	muted cream	T10 Firsts	Core	169_baby_first_shoes.png
LC-170	Baby	Firsts	Developmental Firsts	First rain	0-24 months	Baby cub	baby cub with tiny umbrella and soft raindrops	wonder	muted cream	T10 Firsts	Core	170_baby_first_rain.png
LC-171	Baby	Firsts	Developmental Firsts	First fever	0-24 months	Baby cub	baby cub wrapped in blanket with gentle thermometer-like icon, no numbers	tired	muted cream	T10 Firsts	Core	171_baby_first_fever.png
LC-172	Baby	Firsts	Developmental Firsts	I was brave today	Anytime	Baby cub	baby cub wearing tiny soft cape	brave	muted cream	T10 Firsts	Core	172_baby_i_was_brave_today.png
LC-173	Baby	Firsts	Developmental Firsts	First medicine	Anytime	Baby cub	baby cub beside small spoon and heart, no medical text	calm	muted cream	T10 Firsts	Core	173_baby_first_medicine.png
LC-174	Baby	Firsts	Developmental Firsts	First vaccine	Anytime	Baby cub	baby cub with tiny bandage shape and brave smile	brave	muted cream	T10 Firsts	Core	174_baby_first_vaccine.png
LC-175	Baby	About me	Personality & Everyday Magic	I found my hands	0-6 months	Baby cub	baby cub looking at tiny paws	curious	pale blush	T11 Everyday	Core	175_baby_i_found_my_hands.png
LC-176	Baby	About me	Personality & Everyday Magic	I found my feet	2-8 months	Baby cub	baby cub holding feet with soft smile	curious	pale blush	T11 Everyday	Core	176_baby_i_found_my_feet.png
LC-177	Baby	About me	Personality & Everyday Magic	I love tummy time	0-8 months	Baby cub	baby cub lying on tummy happily	happy	pale blush	T11 Everyday	Core	177_baby_i_love_tummy_time.png
LC-178	Baby	About me	Personality & Everyday Magic	I love cuddles	Anytime	Baby cub	baby cub hugging blanket	loving	pale blush	T11 Everyday	Core	178_baby_i_love_cuddles.png
LC-179	Baby	About me	Personality & Everyday Magic	I love bath time	Anytime	Baby cub	baby cub wrapped in towel with droplets	happy	pale blush	T11 Everyday	Core	179_baby_i_love_bath_time.png
LC-180	Baby	About me	Personality & Everyday Magic	I love story time	Anytime	Baby cub	baby cub with open blank book	peaceful	pale blush	T11 Everyday	Core	180_baby_i_love_story_time.png
LC-181	Baby	About me	Personality & Everyday Magic	I love nap time	Anytime	Baby cub	baby cub sleeping under tiny moon	sleepy	pale blush	T11 Everyday	Core	181_baby_i_love_nap_time.png
LC-182	Baby	About me	Personality & Everyday Magic	I love music	Anytime	Baby cub	baby cub listening with abstract sound shapes	happy	pale blush	T11 Everyday	Core	182_baby_i_love_music.png
LC-183	Baby	About me	Personality & Everyday Magic	I love dancing	Anytime	Baby cub	baby cub dancing softly	joyful	pale blush	T11 Everyday	Core	183_baby_i_love_dancing.png
LC-184	Baby	About me	Personality & Everyday Magic	I love food	6-24 months	Baby cub	baby cub with bowl and spoon	happy	pale blush	T11 Everyday	Core	184_baby_i_love_food.png
LC-185	Baby	About me	Personality & Everyday Magic	I love being outside	Anytime	Baby cub	baby cub near leaf and soft sun shape	curious	pale blush	T11 Everyday	Core	185_baby_i_love_being_outside.png
LC-186	Baby	About me	Personality & Everyday Magic	I love my blanket	Anytime	Baby cub	baby cub hugging blanket	cozy	pale blush	T11 Everyday	Core	186_baby_i_love_my_blanket.png
LC-187	Baby	About me	Personality & Everyday Magic	I love my teddy	Anytime	Baby cub	baby cub hugging tiny teddy	loving	pale blush	T11 Everyday	Core	187_baby_i_love_my_teddy.png
LC-188	Baby	About me	Personality & Everyday Magic	I love Mama	Anytime	Baby cub	baby cub cuddling mama bear	loving	pale blush	T11 Everyday	Core	188_baby_i_love_mama.png
LC-189	Baby	About me	Personality & Everyday Magic	I love Papa	Anytime	Baby cub	baby cub cuddling papa bear	loving	pale blush	T11 Everyday	Core	189_baby_i_love_papa.png
LC-190	Baby	About me	Personality & Everyday Magic	I am curious	Anytime	Baby cub	baby cub looking at eucalyptus leaf	curious	pale blush	T11 Everyday	Core	190_baby_i_am_curious.png
LC-191	Baby	About me	Personality & Everyday Magic	I am cheeky	Anytime	Baby cub	baby cub with playful side-smile	cheeky	pale blush	T11 Everyday	Core	191_baby_i_am_cheeky.png
LC-192	Baby	About me	Personality & Everyday Magic	I am brave	Anytime	Baby cub	baby cub standing proudly with tiny cape	brave	pale blush	T11 Everyday	Core	192_baby_i_am_brave.png
LC-193	Baby	About me	Personality & Everyday Magic	I am sleepy	Anytime	Baby cub	baby cub yawning softly	sleepy	pale blush	T11 Everyday	Core	193_baby_i_am_sleepy.png
LC-194	Baby	About me	Personality & Everyday Magic	I am happy	Anytime	Baby cub	baby cub smiling with rosy cheeks	happy	pale blush	T11 Everyday	Core	194_baby_i_am_happy.png
LC-195	Baby	About me	Personality & Everyday Magic	I am loved	Anytime	Baby cub	baby cub surrounded by small soft hearts	loved	pale blush	T11 Everyday	Core	195_baby_i_am_loved.png
LC-196	Baby	About me	Personality & Everyday Magic	I am growing fast	Anytime	Baby cub	baby cub beside soft height lines, no numbers	proud	pale blush	T11 Everyday	Core	196_baby_i_am_growing_fast.png
LC-197	Baby	About me	Personality & Everyday Magic	Tiny but mighty	Anytime	Baby cub	baby cub standing proudly with tiny star	proud	pale blush	T11 Everyday	Core	197_baby_tiny_but_mighty.png
LC-198	Baby	About me	Personality & Everyday Magic	I had a big day	Anytime	Baby cub	baby cub tired with blanket	tired	pale blush	T11 Everyday	Core	198_baby_i_had_a_big_day.png
LC-199	Baby	About me	Personality & Everyday Magic	I made everyone smile	Anytime	Baby cub	baby cub smiling brightly	happy	pale blush	T11 Everyday	Core	199_baby_i_made_everyone_smile.png
LC-200	Baby	About me	Personality & Everyday Magic	I discovered something new	Anytime	Baby cub	baby cub examining tiny flower	curious	pale blush	T11 Everyday	Core	200_baby_i_discovered_something_new.png
LC-201	Baby	About me	Personality & Everyday Magic	I made a funny face	Anytime	Baby cub	baby cub with silly gentle expression	playful	pale blush	T11 Everyday	Core	201_baby_i_made_a_funny_face.png
LC-202	Baby	About me	Personality & Everyday Magic	I had a messy meal	6-24 months	Baby cub	baby cub with bowl and soft food smudges	cheeky	pale blush	T11 Everyday	Core	202_baby_i_had_a_messy_meal.png
LC-203	Baby	About me	Personality & Everyday Magic	I had a sleepy day	Anytime	Baby cub	baby cub napping with moon	sleepy	pale blush	T11 Everyday	Core	203_baby_i_had_a_sleepy_day.png
LC-204	Baby	About me	Personality & Everyday Magic	I had a grumpy day	Anytime	Baby cub	baby cub with tiny pout but still cute	grumpy cute	pale blush	T11 Everyday	Core	204_baby_i_had_a_grumpy_day.png
LC-205	Baby	About me	Personality & Everyday Magic	I had a happy day	Anytime	Baby cub	baby cub smiling with sparkles	happy	pale blush	T11 Everyday	Core	205_baby_i_had_a_happy_day.png
LC-206	Baby	About me	Personality & Everyday Magic	Today I surprised everyone	Anytime	Baby cub	baby cub with raised brows and tiny sparkle	surprised	pale blush	T11 Everyday	Core	206_baby_today_i_surprised_everyone.png
LC-207	Baby	About me	Personality & Everyday Magic	Today I made us laugh	Anytime	Baby cub	baby cub giggling	giggling	pale blush	T11 Everyday	Core	207_baby_today_i_made_us_laugh.png
LC-208	Baby	About me	Personality & Everyday Magic	Today was special	Anytime	Baby cub	baby cub with soft heart and sparkle accents	warm	pale blush	T11 Everyday	Core	208_baby_today_was_special.png
LC-209	Baby	About me	Personality & Everyday Magic	A little moment to remember	Anytime	Baby cub	baby cub sitting quietly with eucalyptus sprig	peaceful	pale blush	T11 Everyday	Core	209_baby_a_little_moment_to_remember.png
LC-210	Baby	With family	Family Moments	Mama and me	Anytime	Family bears	mama bear cuddling baby cub	loving	warm oatmeal	T12 Family	Core	210_baby_mama_and_me.png
LC-211	Baby	With family	Family Moments	Papa and me	Anytime	Family bears	papa bear cuddling baby cub	protective	warm oatmeal	T12 Family	Core	211_baby_papa_and_me.png
LC-212	Baby	With family	Family Moments	Grandma and me	Anytime	Family bears	grandma bear holding baby cub softly	warm	warm oatmeal	T12 Family	Core	212_baby_grandma_and_me.png
LC-213	Baby	With family	Family Moments	Grandpa and me	Anytime	Family bears	grandpa bear reading to baby cub	warm	warm oatmeal	T12 Family	Core	213_baby_grandpa_and_me.png
LC-214	Baby	With family	Family Moments	My family	Anytime	Family bears	mama, papa and baby cub sitting together	loved	warm oatmeal	T12 Family	Core	214_baby_my_family.png
LC-215	Baby	With family	Family Moments	First family photo	Birth/Anytime	Family bears	family bears arranged in a photo-frame composition	happy	warm oatmeal	T12 Family	Core	215_baby_first_family_photo.png
LC-216	Baby	With family	Family Moments	First cousin photo	Anytime	Family bears	two small cubs sitting together in frame-like setup	friendly	warm oatmeal	T12 Family	Core	216_baby_first_cousin_photo.png
LC-217	Baby	With family	Family Moments	First sibling moment	Anytime	Family bears	older cub meeting baby cub gently	tender	warm oatmeal	T12 Family	Core	217_baby_first_sibling_moment.png
LC-218	Baby	With family	Family Moments	My favourite cuddle	Anytime	Family bears	baby cub nestled into parent bear arms	cozy	warm oatmeal	T12 Family	Core	218_baby_my_favourite_cuddle.png
LC-219	Baby	With family	Family Moments	Sunday with family	Anytime	Family bears	family bears on soft picnic blanket	peaceful	warm oatmeal	T12 Family	Core	219_baby_sunday_with_family.png
LC-220	Baby	With family	Family Moments	A day with Mama	Anytime	Family bears	mama bear walking with baby cub	loving	warm oatmeal	T12 Family	Core	220_baby_a_day_with_mama.png
LC-221	Baby	With family	Family Moments	A day with Papa	Anytime	Family bears	papa bear playing gently with baby cub	playful	warm oatmeal	T12 Family	Core	221_baby_a_day_with_papa.png
LC-222	Baby	With family	Family Moments	Story time with Mama	Anytime	Family bears	mama bear reading blank book to cub	calm	warm oatmeal	T12 Family	Core	222_baby_story_time_with_mama.png
LC-223	Baby	With family	Family Moments	Playtime with Papa	Anytime	Family bears	papa bear and cub with soft blocks	happy	warm oatmeal	T12 Family	Core	223_baby_playtime_with_papa.png
LC-224	Baby	With family	Family Moments	Nap time with Mama	Anytime	Family bears	mama bear and cub sleeping softly	sleepy	warm oatmeal	T12 Family	Core	224_baby_nap_time_with_mama.png
LC-225	Baby	With family	Family Moments	Walk with Papa	Anytime	Family bears	papa bear carrying cub under soft moon/stars	peaceful	warm oatmeal	T12 Family	Core	225_baby_walk_with_papa.png
LC-226	Baby	With family	Family Moments	Family day out	Anytime	Family bears	family bears with tiny picnic basket	happy	warm oatmeal	T12 Family	Core	226_baby_family_day_out.png
LC-227	Baby	With family	Family Moments	Our little family	Anytime	Family bears	mama papa and cub in group cuddle	loving	warm oatmeal	T12 Family	Core	227_baby_our_little_family.png
LC-228	Baby	With family	Family Moments	Loved by everyone	Anytime	Family bears	baby cub surrounded by small hearts	loved	warm oatmeal	T12 Family	Core	228_baby_loved_by_everyone.png
LC-229	Baby	With family	Family Moments	My village	Anytime	Family bears	baby cub with several soft bear silhouettes behind	supported	warm oatmeal	T12 Family	Core	229_baby_my_village.png
LC-230	Baby	With family	Family Moments	First time meeting Grandma	Anytime	Family bears	grandma bear greeting baby cub	tender	warm oatmeal	T12 Family	Core	230_baby_first_time_meeting_grandma.png
LC-231	Baby	With family	Family Moments	First time meeting Grandpa	Anytime	Family bears	grandpa bear greeting baby cub	tender	warm oatmeal	T12 Family	Core	231_baby_first_time_meeting_grandpa.png
LC-232	Baby	With family	Family Moments	First time meeting family	Anytime	Family bears	baby cub with soft family group silhouettes	loved	warm oatmeal	T12 Family	Core	232_baby_first_time_meeting_family.png
LC-233	Baby	With family	Family Moments	First video call	Anytime	Family bears	baby cub looking at blank phone frame, no interface or text	curious	warm oatmeal	T12 Family	Core	233_baby_first_video_call.png
LC-234	Baby	With family	Family Moments	Someone special visited	Anytime	Family bears	baby cub meeting a gentle visitor bear	happy	warm oatmeal	T12 Family	Core	234_baby_someone_special_visited.png
LC-235	Baby	Special days	Events & Festivals	Birthday	Anytime	Baby cub	baby cub with soft birthday cake and sparkles	happy	pastel seasonal	T13 Special	Core	235_baby_birthday.png
LC-236	Baby	Special days	Events & Festivals	Holiday	Anytime	Baby cub	baby cub with tiny suitcase and stars	happy	pastel seasonal	T13 Special	Core	236_baby_holiday.png
LC-237	Baby	Special days	Events & Festivals	First Diwali	Festival	Baby cub	baby cub with soft lantern-like glow shapes, no religious text	happy	pastel seasonal	T13 Special	Core	237_baby_first_diwali.png
LC-238	Baby	Special days	Events & Festivals	First Eid	Festival	Baby cub	baby cub under crescent moon and gentle stars	happy	pastel seasonal	T13 Special	Core	238_baby_first_eid.png
LC-239	Baby	Special days	Events & Festivals	First Christmas	Festival	Baby cub	baby cub beside soft evergreen sprig and tiny gift	happy	pastel seasonal	T13 Special	Core	239_baby_first_christmas.png
LC-240	Baby	Special days	Events & Festivals	First New Year	Festival	Baby cub	baby cub with celebratory sparkles	happy	pastel seasonal	T13 Special	Core	240_baby_first_new_year.png
LC-241	Baby	Special days	Events & Festivals	First vacation	Anytime	Baby cub	baby cub with suitcase and camera icon	happy	pastel seasonal	T13 Special	Core	241_baby_first_vacation.png
LC-242	Baby	Special days	Events & Festivals	First beach trip	Anytime	Baby cub	baby cub with shell and bucket	happy	pastel seasonal	T13 Special	Core	242_baby_first_beach_trip.png
LC-243	Baby	Special days	Events & Festivals	First snow	Anytime	Baby cub	baby cub with tiny snowflake sparkles and scarf	happy	pastel seasonal	T13 Special	Core	243_baby_first_snow.png
LC-244	Baby	Special days	Events & Festivals	First Halloween	Festival	Baby cub	baby cub with cute pumpkin shape, not spooky	happy	pastel seasonal	T13 Special	Core	244_baby_first_halloween.png
LC-245	Baby	Special days	Events & Festivals	First Rakhi	Festival	Baby cub	baby cub with soft thread/bracelet keepsake shape	happy	pastel seasonal	T13 Special	Core	245_baby_first_rakhi.png
LC-246	Baby	Special days	Events & Festivals	First Holi	Festival	Baby cub	baby cub with very soft pastel powder clouds	happy	pastel seasonal	T13 Special	Core	246_baby_first_holi.png
LC-247	Baby	Special days	Events & Festivals	First Onam	Festival	Baby cub	baby cub near soft floral circle motif	happy	pastel seasonal	T13 Special	Core	247_baby_first_onam.png
LC-248	Baby	Special days	Events & Festivals	First Thanksgiving	Festival	Baby cub	baby cub near autumn leaves	happy	pastel seasonal	T13 Special	Core	248_baby_first_thanksgiving.png
LC-249	Baby	Special days	Events & Festivals	First family wedding	Anytime	Baby cub	baby cub with soft floral garland accents	happy	pastel seasonal	T13 Special	Core	249_baby_first_family_wedding.png
LC-250	Baby	Special days	Events & Festivals	Naming ceremony	Anytime	Baby cub	baby cub with blank name card and family bears	happy	pastel seasonal	T13 Special	Core	250_baby_naming_ceremony.png
LC-251	Baby	Special days	Events & Festivals	Blessing day	Anytime	Baby cub	baby cub under gentle sparkles and hearts	happy	pastel seasonal	T13 Special	Core	251_baby_blessing_day.png
LC-252	Baby	Special days	Events & Festivals	First photoshoot	Anytime	Baby cub	baby cub beside tiny camera icon	happy	pastel seasonal	T13 Special	Core	252_baby_first_photoshoot.png
LC-253	Baby	Special days	Events & Festivals	First passport photo	Anytime	Baby cub	baby cub sitting straight with neutral blank frame	happy	pastel seasonal	T13 Special	Core	253_baby_first_passport_photo.png
LC-254	Baby	Special days	Events & Festivals	First trip to India	Anytime	Baby cub	baby cub with suitcase and soft plane cloud motif	happy	pastel seasonal	T13 Special	Core	254_baby_first_trip_to_india.png
LC-255	Baby	Special days	Events & Festivals	First trip abroad	Anytime	Baby cub	baby cub with tiny globe-like circle and plane shape	happy	pastel seasonal	T13 Special	Core	255_baby_first_trip_abroad.png
LC-256	Baby	Special days	Events & Festivals	First picnic	Anytime	Baby cub	baby cub on soft blanket with fruit shapes	happy	pastel seasonal	T13 Special	Core	256_baby_first_picnic.png
LC-257	Baby	Special days	Events & Festivals	First zoo visit	Anytime	Baby cub	baby cub looking at leaf and animal silhouette shapes	happy	pastel seasonal	T13 Special	Core	257_baby_first_zoo_visit.png
LC-258	Baby	Special days	Events & Festivals	First aquarium visit	Anytime	Baby cub	baby cub with soft fish-like shapes	happy	pastel seasonal	T13 Special	Core	258_baby_first_aquarium_visit.png
LC-259	Baby	Special days	Events & Festivals	First museum day	Anytime	Baby cub	baby cub with tiny picture-frame shapes	happy	pastel seasonal	T13 Special	Core	259_baby_first_museum_day.png
LC-260	Baby	Custom moments	Custom & Journal	Today I...	Anytime	Baby cub	minimal journaling card illustration for 'today i...', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	260_baby_today_i.png
LC-261	Baby	Custom moments	Custom & Journal	My first...	Anytime	Baby cub	minimal journaling card illustration for 'my first...', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	261_baby_my_first.png
LC-262	Baby	Custom moments	Custom & Journal	I learned to...	Anytime	Baby cub	minimal journaling card illustration for 'i learned to...', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	262_baby_i_learned_to.png
LC-263	Baby	Custom moments	Custom & Journal	I loved...	Anytime	Baby cub	minimal journaling card illustration for 'i loved...', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	263_baby_i_loved.png
LC-264	Baby	Custom moments	Custom & Journal	I said...	Anytime	Baby cub	minimal journaling card illustration for 'i said...', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	264_baby_i_said.png
LC-265	Baby	Custom moments	Custom & Journal	I ate...	Anytime	Baby cub	minimal journaling card illustration for 'i ate...', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	265_baby_i_ate.png
LC-266	Baby	Custom moments	Custom & Journal	I visited...	Anytime	Baby cub	minimal journaling card illustration for 'i visited...', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	266_baby_i_visited.png
LC-267	Baby	Custom moments	Custom & Journal	I met...	Anytime	Baby cub	minimal journaling card illustration for 'i met...', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	267_baby_i_met.png
LC-268	Baby	Custom moments	Custom & Journal	I smiled because...	Anytime	Baby cub	minimal journaling card illustration for 'i smiled because...', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	268_baby_i_smiled_because.png
LC-269	Baby	Custom moments	Custom & Journal	I laughed when...	Anytime	Baby cub	minimal journaling card illustration for 'i laughed when...', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	269_baby_i_laughed_when.png
LC-270	Baby	Custom moments	Custom & Journal	A note from Mama	Anytime	Mama + Papa	minimal journaling card illustration for 'a note from mama', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	270_baby_a_note_from_mama.png
LC-271	Baby	Custom moments	Custom & Journal	A note from Papa	Anytime	Mama + Papa	minimal journaling card illustration for 'a note from papa', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	271_baby_a_note_from_papa.png
LC-272	Baby	Custom moments	Custom & Journal	A letter to you	Anytime	Baby cub	minimal journaling card illustration for 'a letter to you', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	272_baby_a_letter_to_you.png
LC-273	Baby	Custom moments	Custom & Journal	A memory from today	Anytime	Baby cub	minimal journaling card illustration for 'a memory from today', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	273_baby_a_memory_from_today.png
LC-274	Baby	Custom moments	Custom & Journal	Something funny happened	Anytime	Baby cub	minimal journaling card illustration for 'something funny happened', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	274_baby_something_funny_happened.png
LC-275	Baby	Custom moments	Custom & Journal	Something sweet happened	Anytime	Baby cub	minimal journaling card illustration for 'something sweet happened', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	275_baby_something_sweet_happened.png
LC-276	Baby	Custom moments	Custom & Journal	A hard day we got through	Anytime	Baby cub	minimal journaling card illustration for 'a hard day we got through', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	276_baby_a_hard_day_we_got_through.png
LC-277	Baby	Custom moments	Custom & Journal	A tiny moment	Anytime	Baby cub	minimal journaling card illustration for 'a tiny moment', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	277_baby_a_tiny_moment.png
LC-278	Baby	Custom moments	Custom & Journal	A big milestone	Anytime	Baby cub	minimal journaling card illustration for 'a big milestone', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	278_baby_a_big_milestone.png
LC-279	Baby	Custom moments	Custom & Journal	This made us proud	Anytime	Baby cub	minimal journaling card illustration for 'this made us proud', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	279_baby_this_made_us_proud.png
